CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
DALAPON,Dalapon,,UG/L,200,MCL,38432,2031,,,DALAPON,,,,,,38432,
DEATZ,Deethylatrazine,,UG/L,50,CA-Prop65,,,,,DEATZ,,,,,,,
DEHYDRONIF,Dehydronifedipine ,,UG/L,0,No Comparison Conc.,,,,,DEHYDRONIF,,,,"Dehydronifedipine, wf",,,
DIPATZ,Deisopropyl Atrazine,,UG/L,0,No Comparison Conc.,,,,,DIPATZ,,,,,,,
DEUTERIUM,Deuterium,X,UG/L,0,No Comparison Conc.,,,,,DEUTERIUM,,,,,,,
DOA,Di(2-ethylhexyl)adipate,,MG/L,0.4,MCL,A-026,2035,,,DOA,,,,,,A-026,
BIS2EHP,Di(2-ethylhexyl)phthalate (DEHP),,UG/L,4,MCL,39100,2039,,,BIS2EHP,,,,,,39100,"Bis(2-ethylhexyl) phthalate, bed sediment, recoverable, dry weight, micrograms per kilogram -- Bis(2-ethylhexyl) phthalate, water, unfiltered, recoverable, micrograms per liter"
DIAZ,Diazinon,,UG/L,1.2,NL,39570,2056,,Diazinon,DIAZ,,,,"Diazinon, wf",,39570,"Diazinon, bed sediment, recoverable, dry weight, micrograms per kilogram -- Diazinon, water, filtered, recoverable, micrograms per liter -- Diazinon, water, filtered, recoverable, nanograms per liter -- Diazinon, water, unfiltered, recoverable, micrograms per liter"
DBRACETICA,Dibromoacetic acid,,UG/L,0,No Comparison Conc.,82721,2454,,,DBRACETICA -- ACETICACID,,,,,,82721,
DBCME,Dibromochloromethane (THM),,UG/L,80,MCL,32105,2944,,Dibromochloromethane,DBCME,Dibromochloromethane ,,DBCME,"Dibromochloromethane, wu",Dibromochloromethane ,32105,"Dibromochloromethane, water, filtered, recoverable, micrograms per liter -- Dibromochloromethane, water, unfiltered, recoverable, micrograms per liter"
DICAMBA,Dicamba,,UG/L,210,RfD,82052,2440,,Dicamba,DICAMBA,,,,"Dicamba, w,gf<.7u",,82052,"Dicamba, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Dicamba, water, unfiltered, recoverable, micrograms per liter"
DCAA,Dichloroacetic Acid,,UG/L,0,No Comparison Conc.,77288,2451,,,DCAA,,,,,,77288,
FC12,Dichlorodifluoromethane,,MG/L,1,NL,34668,2212,,Dichlorodifluoromethane,FC12,Dichlorodifluoromethane,,FC12,"CFC-12, wu",Dichlorodifluoromethane,34668,
DCMA,Dichloromethane (Methylene Chloride),,UG/L,5,MCL,34423,2964,,Methylene chloride,DCMA,DICHLOROMETHANE,,MTLNCL,"Dichloromethane, wu",DICHLOROMETHANE/ Methylene Chloride,34423,"Dichloromethane, water, unfiltered, recoverable, micrograms per liter"
DCPROP,Dichlorprop,,UG/L,300,HBSL,82356,2206,,Dichlorprop,DCPROP,,,,"Dichlorprop, w,gf<.7u",,82356,"Dichlorprop, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Dichlorprop, water, unfiltered, recoverable, micrograms per liter"
DICHLORVOS,Dichlorvos (DDVP),,UG/L,0.4,HBSL,,,187,,DICHLORVOS,,,,"Dichlorvos, wf",,,"Dichlorvos, water, filtered, recoverable, micrograms per liter -- Dichlorvos, water, unfiltered, recoverable, micrograms per liter"
DICOFOL,Dicofol,,UG/L,0,No Comparison Conc.,39780,2370,,Dicofol,DICOFOL,,,,,,39780,
DIELDRIN,Dieldrin,,UG/L,0.002,HBSL,39380,2070,,,DIELDRIN,,,,"Dieldrin, wf",,39380,"Dieldrin, bed sediment, recoverable, dry weight, micrograms per kilogram -- Dieldrin, water, filtered, recoverable, micrograms per liter -- Dieldrin, water, unfiltered, recoverable, micrograms per liter"
DIESEL,Diesel,,UG/L,100,HAL-US,,,,,DIESEL,,,,,,,
DILTIAZEM,Diltiazem,,UG/L,0,No Comparison Conc.,,,,,DILTIAZEM,,,,"Diltiazem, wf",,,
DIMETHAT,Dimethoate,,UG/L,2,HBSL,38458,2221,216,Dimethoate,DIMETHAT,,,,"Dimethoate, w,gf<.7u",,38458,"Dimethoate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Dimethoate, water, filtered, recoverable, nanograms per liter"
DINOSEB,Dinoseb,,UG/L,7,MCL,81287,2041,,Dinoseb (DNPB),DINOSEB,,,,"Dinoseb, w,gf<.7u",,81287,"Dinoseb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
DIPHENHYDR,Diphenhydramine ,,UG/L,0,No Comparison Conc.,,,,,DIPHENHYDR,,,,"Diphenhydramine, wf",,,
DIQUAT,Diquat,,UG/L,20,MCL,78885,2032,,,DIQUAT,,,,,,78885,
DO,Dissolved Oxygen (DO),X,MG/L,0,No Comparison Conc.,,,,,DO,,,,Dissolved oxygen,,,
DOSAT,"Dissolved Oxygen, Percent Saturation  ",X,PERCENT,0,No Comparison Conc.,,,,,DOSAT,,,,,,,
DIURON,Diuron,,UG/L,2,HBSL,39650,2103,231,Diuron,DIURON,,,,"Diuron, w,gf<.7u",,39650,"Diuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Diuron, water, filtered, recoverable, nanograms per liter"
EPTAM,EPTC,,UG/L,200,HBSL,81894,2052,264,,EPTAM,,,,"EPTC, w,gf<.7u",,81894,
ENDOSULFANA,Endosulfan I,,UG/L,42,RfD,34361,2068,,Endosulfan-I,ENDOSULFANA,,,,,,34361,"alpha-Endosulfan, bed sediment, recoverable, dry weight, micrograms per kilogram -- alpha-Endosulfan, water, filtered, recoverable, micrograms per liter -- alpha-Endosulfan, water, unfiltered, recoverable, micrograms per liter"
ENDOSULFANB,Endosulfan II,,UG/L,42,RfD,34356,2072,,Endosulfan-II,ENDOSULFANB,,,,,,34356,"beta-Endosulfan, water, filtered, recoverable, micrograms per liter"
ENDOSULFANS,Endosulfan Sulfate,,UG/L,42,RfD,34351,2074,,Endosulfan sulfate,ENDOSULFANS,,,,"Endosulfan sulfate, wf",,34351,"Endosulfan sulfate, water, filtered, recoverable, micrograms per liter"
ENDOTHAL,Endothall,,UG/L,100,MCL,38926,2033,260,,ENDOTHAL,,,,,,38926,
ENDRIN,Endrin,,UG/L,2,MCL,39390,2005,,Endrin,ENDRIN,,,,,,39390,"Endrin, bed sediment, recoverable, dry weight, micrograms per kilogram -- Endrin, water, filtered, recoverable, micrograms per liter -- Endrin, water, unfiltered, recoverable, micrograms per liter"
ENDRINALD,Endrin Aldehyde,,UG/L,0,No Comparison Conc.,34366,2372,,Endrin aldehyde,ENDRINALD,,,,,,34366,
ETBE,Ethyl tertiary butyl ether (ETBE),,UG/L,0,No Comparison Conc.,A-033,C033,,,ETBE,Ethyl tert-Butyl Ether (ETBE),,,,Ethyl tert-Butyl Ether (ETBE),A-033,"tert-Butyl ethyl ether, water, unfiltered, recoverable, micrograms per liter"
EBZ,Ethylbenzene,,UG/L,300,MCL,34371,2992,,Ethyl benzene,EBZ,Ethylbenzene,,EBZ,"Ethylbenzene, wu",Ethylbenzene,34371,"Ethylbenzene, water, unfiltered, recoverable, micrograms per liter"
ETEGLY,Ethylene glycol,,MG/L,14,NL,77023,2960,,,ETEGLY,,,,,,77023,
FCOLIFORM,Fecal Coliform (bacteria),,Count,0.99,MCL,,,,,FCOLIFORM,FECAL COLIFORM,,FCOLIFORM,,Fecal Coliform,,"Fecal coliforms, M-FC MF (0.45 micron) method, water, colony forming units per 100 milliliters"
FENPHOS,Fenamiphos,,UG/L,0.7,HBSL,38929,7585,1857,,FENPHOS,,,,"Fenamiphos, wf",,38929,"Fenamiphos, water, filtered, recoverable, micrograms per liter"
FIPRONIL,Fipronil,,UG/L,1,HHBP,,,3995,,FIPRONIL,,,,"Fipronil, wf",,,"Fipronil, water, filtered, recoverable, micrograms per liter -- Fipronil, water, filtered, recoverable, nanograms per liter"
F,Fluoride,X,MG/L,2,MCL,951,1025,,Dissolved Fluoride,F,FLUORIDE (TEMPERATURE DEPENDENT),FLUORIDE,F,"Fluoride, wf",Fluoride,951,"Fluoride, water, filtered, milligrams per liter -- Fluoride, water, unfiltered, milligrams per liter"
FOAMAGENTS,Foaming Agents (MBAS),,MG/L,0.5,SMCL,38260,2905,,,FOAMAGENTS -- SURFACT,FOAMING AGENTS (MBAS),,MBAS,,Foaming Agents (MBAS),38260,"Methylene blue active substances, water, unfiltered, recoverable, milligrams per liter"
FONOFOS,Fonofos,,UG/L,10,HBSL,81294,2570,254,,FONOFOS,,,,"Fonofos, wf",,81294,"Fonofos, water, filtered, recoverable, micrograms per liter -- Fonofos, water, filtered, recoverable, nanograms per liter -- Fonofos, water, unfiltered, recoverable, micrograms per liter"
FORMALD,Formaldehyde,,UG/L,100,NL,71880,2961,,,FORMALD,,,,,,71880,
GASOLINE,Gasoline,,UG/L,5,HAL-US,,,,,GASOLINE,,,,,,,
GLYP,Glyphosate (Round-up),,UG/L,700,MCL,39941 -- 79743,2034 -- 2034,1855,Glyphosate,GLYP,,,,,,39941 -- 79743,"Glyphosate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
ALPHA,Gross Alpha radioactivity,X,pCi/L,15,MCL,1501,4109,,,ALPHA,GROSS ALPHA,,MBAS,"Alpha activity, 30d,wf,Th230",,1501,"Alpha radioactivity 2-sigma combined uncertainty, water, filtered, Th-230 curve, picocuries per liter -- Alpha radioactivity counting error, water, unfiltered, picocuries per liter -- Alpha radioactivity, water, filtered, Th-230 curve, picocuries per liter -- Alpha radioactivity, water, unfiltered, picocuries per liter -- Gross alpha radioactivity, 30 day count, water, filtered, Th-230 curve, picocuries per liter -- Gross alpha radioactivity, 30 day recount, water, unfiltered, Th-230 curve, picocuries per liter -- Gross alpha radioactivity, 72 hour count, water, filtered, Th-230 curve, picocuries per liter -- Gross alpha radioactivity, 72 hour count, water, unfiltered, Th-230 curve, picocuries per liter -- Gross alpha radioactivity, water, filtered, natural uranium curve, micrograms per liter -- Gross alpha radioactivity, water, filtered, natural uranium curve, picocuries per liter -- Gross alpha radioactivity, water, unfiltered, Th-230 curve, picocuries per liter -- Gross alpha radioactivity, water, unfiltered, picocuries per liter"
BETA,Gross beta,X,pCi/L,50,MCL,3501,4100,,,BETA,,,,"Beta activity, 72hr/ Cs137,wf",,3501,
AZIPM,Guthion (Azinphos Methyl),,UG/L,10,HBSL,39580,2059,314,Azinphos methyl (Guthion),AZIPM,,,,"Azinphos-methyl, w,gf<.7u",,39580,"Azinphos-methyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Azinphos-methyl, water, filtered, recoverable, nanograms per liter -- Azinphos-methyl, water, unfiltered, recoverable, micrograms per liter"
HARD,Hardness,X,MG/L,0,No Comparison Conc.,900,1915,,Hardness,HARD,HARDNESS (TOTAL) AS CACO3,,HARD,"Hardness, water",Hardness,900,"Carbonate hardness, water, unfiltered, milligrams per liter as calcium carbonate"
HE-4,Helium,X,cm3STP/g,0,No Comparison Conc.,,,,,HE-4,,,,,,,
HE-3/HE-4,Helium-3/Helium-4,X,atom ratio,0,No Comparison Conc.,,,,,HE-3/ HE-4,,,,,,,
HEPTACHLOR,Heptachlor,,UG/L,0.01,MCL,39410,2065,317,Heptachlor,HEPTACHLOR,Hexachlorobutadiene,,,,,39410,"Heptachlor, bed sediment, recoverable, dry weight, micrograms per kilogram -- Heptachlor, suspended sediment, recoverable, micrograms per liter -- Heptachlor, water, filtered, recoverable, micrograms per liter -- Heptachlor, water, unfiltered, recoverable, micrograms per liter"
HEPT-EPOX,Heptachlor Epoxide,,UG/L,0.01,MCL,39420,2067,4073,Heptachlor epoxide,HEPT-EPOX,,,,,,39420,"Heptachlor epoxide, bed sediment, recoverable, dry weight, micrograms per kilogram -- Heptachlor epoxide, water, filtered, recoverable, micrograms per liter -- Heptachlor epoxide, water, unfiltered, recoverable, micrograms per liter"
HCLBZ,Hexachlorobenzene (HCB),,UG/L,1,MCL,39700,2274,,,HCLBZ,,,,,,39700,"Hexachlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram -- Hexachlorobenzene, water, unfiltered, recoverable, micrograms per liter"
HCBU,Hexachlorobutadiene,,UG/L,0.9,HBSL,34391,2246,,Hexachlorobutadiene,HCBU,,,,"Hexachlorobutadiene, wu",,34391,"Hexachlorobutadiene, bed sediment, recoverable, dry weight, micrograms per kilogram -- Hexachlorobutadiene, water, unfiltered, recoverable, micrograms per liter"
HCCP,Hexachlorocyclopentadiene,,UG/L,50,MCL,34386,2042,,,HCCP,,,,,,34386,"Hexachlorocyclopentadiene, bed sediment, recoverable, dry weight, micrograms per kilogram -- Hexachlorocyclopentadiene, water, unfiltered, recoverable, micrograms per liter"
HEXAZINONE,Hexazinone,,UG/L,400,HBSL,38815,7705,1871,,HEXAZINONE,,,,"Hexazinone, wf",,38815,"Hexazinone, water, filtered, recoverable, micrograms per liter -- Hexazinone, water, filtered, recoverable, nanograms per liter"
IMIDPRID,Imidacloprid,,UG/L,360,HHBP,,,3849,,IMIDPRID,,,,"Imidacloprid, wf",,,"Imidacloprid, water, filtered, recoverable, micrograms per liter"
I,Iodide,X,UG/L,1190,NAS-HAL,71865,C166,,,I,,,,"Iodide, wf",,71865,"Iodide, water, filtered, milligrams per liter"
IPRODIONE,Iprodione,,UG/L,0.8,HBSL,,,,,IPRODIONE,,,,"Iprodione, wf",,,"Iprodione, water, filtered, recoverable, micrograms per liter"
FE,Iron,X,UG/L,300,SMCL,01045 -- 01046,1028 -- 1082,,Dissolved Iron,FE,IRON,,FE,"Iron, wf","Iron, FAA",01045 -- 01046,"Iron, bed sediment, total digestion, dry weight, milligrams per kilogram -- Iron, suspended sediment, recoverable, micrograms per liter -- Iron, water, filtered, micrograms per liter -- Iron, water, unfiltered, micrograms per liter -- Iron, water, unfiltered, recoverable, micrograms per liter"
IPBZ,Isopropylbenzene ( Cumene),,UG/L,770,NL,77356,2994,,Isopropylbenzene,IPBZ,Isopropylbenzene (Cumene),,IPBZ," -- Isopropylbenzene, wu",Isopropylbenzene (Cumene),77356,"Isopropylbenzene, water, filtered, recoverable, micrograms per liter -- Isopropylbenzene, water, unfiltered, recoverable, micrograms per liter"
KEROSENE,Kerosene,,UG/L,100,HAL-US,78878,2374,,,KEROSENE,,,,,,78878,
KR,Krypton,X,cm3STP/g,0,No Comparison Conc.,,,,,KR,,,,,,,"Krypton error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure -- Krypton, water, dissolved, cubic centimeters per gram at standard temperature and pressure"
PB,Lead,X,UG/L,15,Action Level,1051,1030,,Dissolved Lead -- Total Lead,PB,LEAD,,PB,"Lead, wf","Lead, GFAA",1051,"Lead, bed sediment, dry weight, milligrams per kilogram -- Lead, bed sediment, recoverable, dry weight, milligrams per kilogram -- Lead, suspended sediment, recoverable, micrograms per liter -- Lead, water, filtered, micrograms per liter -- Lead, water, unfiltered, recoverable, micrograms per liter"
BHCGAMMA,Lindane (Gamma-BHC) ,,UG/L,0.2,MCL,39340,2010,359,BHC-gamma (Lindane),BHCGAMMA,,,,,,39340,"Lindane, bed sediment, recoverable, dry weight, micrograms per kilogram -- Lindane, water, filtered, recoverable, micrograms per liter -- Lindane, water, unfiltered, recoverable, micrograms per liter"
LINURON,Linuron,,UG/L,5,HBSL,38478,2283,361,,LINURON,,,,"Linuron, w,gf<.7u",,38478,"Linuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
LI,Lithium,X,UG/L,0,No Comparison Conc.,1132,1083,,,LI,,,,"Lithium, wf",,1132,"Lithium, bed sediment, dry weight, milligrams per kilogram -- Lithium, suspended sediment, recoverable, micrograms per liter -- Lithium, water, filtered, micrograms per liter -- Lithium, water, unfiltered, recoverable, micrograms per liter"
MTBE,MTBE (Methyl-tert-butyl ether),,UG/L,13,MCL,46491,2251,,Methyl tert-butyl ether (MTBE),MTBE,METHYL-TERT-BUTYL-ETHER (MTBE),,MTBE,"MTBE, wu",METHYL-TERT-BUTYL-ETHER (MTBE),46491,"Methyl tert-butyl ether, water, unfiltered, recoverable, micrograms per liter"
MG,Magnesium,X,MG/L,0,No Comparison Conc.,927,1031,,Dissolved Magnesium -- Total Magnesium,MG,MAGNESIUM,MAGNESIUM,MG,"Magnesium, wf","Magnesium, Calculation",927,"Magnesium, bed sediment, dry weight, milligrams per kilogram -- Magnesium, water, filtered, milligrams per liter -- Magnesium, water, unfiltered, recoverable, milligrams per liter"
MALA,Malathion,,UG/L,500,HBSL,39530,2058,367,Malathion,MALA,,,,"Malathion, wf",,39530,"Malathion, bed sediment, recoverable, dry weight, micrograms per kilogram -- Malathion, water, filtered, recoverable, micrograms per liter -- Malathion, water, filtered, recoverable, nanograms per liter -- Malathion, water, unfiltered, recoverable, micrograms per liter"
MN,Manganese,X,UG/L,50,SMCL,01055 -- 01056,1032 -- 1034,,Dissolved Manganese -- Total Manganese,MN,MANGANESE,,MN,"Manganese, wf","Manganese, FAA",01055 -- 01056,"Manganese, bed sediment, dry weight, milligrams per kilogram -- Manganese, suspended sediment, recoverable, micrograms per liter -- Manganese, water, filtered, micrograms per liter -- Manganese, water, unfiltered, micrograms per liter -- Manganese, water, unfiltered, recoverable, micrograms per liter"
HG,Mercury,X,UG/L,2,MCL,71900,1035,,Dissolved Mercury -- Total Mercury,HG,MERCURY,,HG,"Mercury, wf","Mercury, CVAA",71900,"Mercury, bed sediment, dry weight, milligrams per kilogram -- Mercury, bed sediment, recoverable, dry weight, milligrams per kilogram -- Mercury, solids, total, dry weight, micrograms per kilogram -- Mercury, suspended sediment, recoverable, micrograms per liter -- Mercury, water, filtered, micrograms per liter -- Mercury, water, unfiltered, nanograms per liter -- Mercury, water, unfiltered, recoverable, micrograms per liter"
HGE,Mercury (elemental),X,UG/L,0,No Comparison Conc.,,,,,HGE,,,,,,,
METALAXYL,Metalaxyl,,UG/L,500,HBSL,,,2132,,METALAXYL,,,,"Metalaxyl, wf",,,"Metalaxyl, water, filtered, recoverable, micrograms per liter -- Metalaxyl, water, unfiltered, recoverable, micrograms per liter"
CH4,"Methane, dissolved  ",X,MG/L,0,No Comparison Conc.,,,,,CH4,,,,,,,"Methane, water, dissolved, cubic centimeters per gram at standard temperature and pressure -- Methane, water, dissolved, recoverable, micrograms per liter -- Methane, water, dissolved, recoverable, milligrams per liter -- Methane, water, dissolved, recoverable, mole percent of dissolved gases"
METHOMYL,Methomyl,,UG/L,200,HBSL,39051,2022,383,Methomyl,METHOMYL,,,,"Methomyl, w,gf<.7u",,39051,"Methomyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Methomyl, water, unfiltered, recoverable, micrograms per liter"
MTXYCL,Methoxychlor,,UG/L,30,MCL,39480,2015,384,Methoxychlor,MTXYCL,,,,,,39480,"p,p'-Methoxychlor, bed sediment, recoverable, dry weight, micrograms per kilogram -- p,p'-Methoxychlor, water, filtered, recoverable, micrograms per liter -- p,p'-Methoxychlor, water, unfiltered, recoverable, micrograms per liter"
BRME,Methyl Bromide (Bromomethane),,UG/L,10,HAL-US,34413,2214,,Bromomethane,BRME,BROMOMETHANE/ Methyl Bromide,,BRME,"Bromomethane, wu",BROMOMETHANE/ Methyl Bromide,34413,"Bromomethane, water, unfiltered, recoverable, micrograms per liter"
IME,Methyl Iodide,,UG/L,0,No Comparison Conc.,,,,,IME,Methyl Iodide,,,"Iodomethane, wu",,,"Iodomethane, water, unfiltered, recoverable, micrograms per liter"
MIBK,Methyl Isobutyl Ketone (MIBK),,UG/L,120,NL,81596,2277,,,MIBK,,,MIBK,,,81596,"Isobutyl methyl ketone, water, unfiltered, recoverable, micrograms per liter"
METOCHLOR,Metolachlor,,UG/L,700,HBSL,39356,2045,1996,Metolachlor,METOCHLOR,,,,"Metolachlor, wf",,39356,"Metolachlor, water, filtered, recoverable, micrograms per liter -- Metolachlor, water, filtered, recoverable, nanograms per liter -- Metolachlor, water, unfiltered, recoverable, micrograms per liter"
METRIBUZ,Metribuzin,,UG/L,90,HBSL,81408,2595,1692,,METRIBUZ,,,,"Metribuzin, wf",,81408,"Metribuzin, water, filtered, recoverable, micrograms per liter -- Metribuzin, water, unfiltered, recoverable, micrograms per liter"
MOLINATE,Molinate,,UG/L,20,MCL,82199,2626,449,,MOLINATE,,,,"Molinate, w,gf<.7u",,82199,"Molinate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Molinate, water, filtered, recoverable, nanograms per liter"
MO,Molybdenum,X,UG/L,40,HAL-US,1062,1084,,,MO,,,,"Molybdenum, wf",,1062,"Molybdenum, bed sediment, dry weight, milligrams per kilogram -- Molybdenum, suspended sediment, recoverable, micrograms per liter -- Molybdenum, water, filtered, micrograms per liter -- Molybdenum, water, unfiltered, recoverable, micrograms per liter"
NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,,NG/L,0,No Comparison Conc.,C2807,2817,,,NETFOSAA,,,,"N-EtFOSAA, wu",,C2807,
ETFOSA,N-Ethylperfluorooctanesulfonamide,,NG/L,0,No Comparison Conc.,,,,,ETFOSA,,,,,,,
ETFOSE,N-Ethylperfluorooctanesulfonamide ethanol,,NG/L,0,No Comparison Conc.,,,,,ETFOSE,,,,,,,
NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,,NG/L,0,No Comparison Conc.,C2808,2818,,,NMEFOSAA,,,,"N-MeFOSAA, wu",,C2808,
MEFOSA,N-Methylperfluorooctanesulfonamide,,NG/L,0,No Comparison Conc.,,,,,MEFOSA,,,,,,,
MEFOSE,N-Methylperfluorooctanesulfonamide ethanol,,NG/L,0,No Comparison Conc.,,,,,MEFOSE,,,,,,,
NNSPR,N-Nitrosodi-N-Propylamine (NDPA),,UG/L,0.01,NL,34428,2316,,,NNSPR,,,,,,34428,"N-Nitrosodi-n-propylamine, bed sediment, recoverable, dry weight, micrograms per kilogram -- N-Nitrosodi-n-propylamine, water, unfiltered, recoverable, micrograms per liter"
NNSE,N-Nitrosodiethylamine (NDEA),,UG/L,0.01,NL,78200,C183,,,NNSE,,,,,,78200,
NNSM,N-Nitrosodimethylamine (NDMA),,UG/L,0.01,NL,34438,2314,,,NNSM,,,,"N-Nitrosodimethylamine, wu",,34438,"N-Nitrosodimethylamine (NDMA), bed sediment, recoverable, dry weight, micrograms per kilogram -- N-Nitrosodimethylamine (NDMA), water, unfiltered, recoverable, micrograms per liter -- N-Nitrosodimethylamine (NDMA), water, unfiltered, recoverable, nanograms per liter"
NALED,Naled,,UG/L,10,HBSL,38855,C128,418,Naled,NALED,,,,,,38855,
NAPH,Naphthalene,,UG/L,17,NL,34696,2248,,Naphthalene,NAPH,Naphthalene,,NAPH," -- Naphthalene, wu",,34696,"Naphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram -- Naphthalene, water, filtered, recoverable, micrograms per liter -- Naphthalene, water, unfiltered, recoverable, micrograms per liter"
NAPROPAM,Napropamide,,UG/L,800,HBSL,79195,6440,1728,Napropamide,NAPROPAM,,,,,,79195,"Napropamide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
NE,Neon,X,cm3STP/g,0,No Comparison Conc.,,,,,NE,,,,,,,"Neon error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure -- Neon, water, dissolved, nanomoles per kilogram -- Neon, water, unfiltered, cubic centimeters per gram at standard temperature and pressure"
NI,Nickel,X,UG/L,100,MCL,1067,1036,,Total Nickel,NI,NICKEL,,NI,"Nickel, wf","Nickel, GFAA",1067,"Nickel, bed sediment, dry weight, milligrams per kilogram -- Nickel, suspended sediment, recoverable, micrograms per liter -- Nickel, water, filtered, micrograms per liter -- Nickel, water, unfiltered, recoverable, micrograms per liter"
NO3N,Nitrate as N,X,MG/L,10,MCL,00618 -- 71850,1040 -- C255,,Dissolved Nitrate,NO3N -- NO3,NITRATE + NITRITE (AS N),NITRATE,NO3,"Nitrate, wf","Nitrogen, Nitrite-N",00618 -- 71850,"Nitrate, water, filtered, milligrams per liter as nitrate -- Nitrate, water, filtered, milligrams per liter as nitrogen -- Nitrate, water, unfiltered, milligrams per liter as nitrate -- Nitrate, water, unfiltered, milligrams per liter as nitrogen"
NO3NO2N,Nitrate+Nitrite,X,MG/L,10,MCL,,,,,NO3NO2N,NITRATE + NITRITE (AS N),,NO3NO2N,"NO3+NO2, wf",Nitrate-N plus Nitrite-N,,
NO2,Nitrite as N,X,MG/L,1,MCL,620,1041,,,NO2 -- NO2N,,NITRITE,NO2N,"Nitrite, wf","Nitrogen, Nitrite-N",620,"Nitrite, water, filtered, milligrams per liter as nitrite -- Nitrite, water, filtered, milligrams per liter as nitrogen -- Nitrite, water, unfiltered, milligrams per liter as nitrite -- Nitrite, water, unfiltered, milligrams per liter as nitrogen"
NFDHA,"Nonafluoro-3,6-dioxaheptanoic acid (NFDHA)",,NG/L,0,No Comparison Conc.,,2827,,,NFDHA,,,,,,,
NORFLUZON,Norflurazon,,UG/L,10,HBSL,,,2019,,NORFLUZON,,,,"Norflurazon, w,gf<.7u",,,"Norflurazon, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Norflurazon, water, filtered, recoverable, nanograms per liter"
HMX,Octogen (HMX),,MG/L,0.35,NL,82203,C218,,,HMX,,,,,,82203,
OXAMYL,Oxamyl,,UG/L,50,MCL,38865,2036,1910,Oxamyl,OXAMYL,,,,"Oxamyl, w,gf<.7u",,38865,"Oxamyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
OXYFLUOREN,Oxyfluorfen,,UG/L,20,HBSL,,,1973,Oxyfluorfen,OXYFLUOREN,,,,"Oxyfluorfen, wf",,,"Oxyfluorfen, water, filtered, recoverable, micrograms per liter -- Oxyfluorfen, water, filtered, recoverable, nanograms per liter"
PCNB,PCNB,,UG/L,21,RfD,39029,2934,,Pentachloronitrobenzene (PCNB),PCNB -- PECLNO2BZ,,,,,,39029,
PARAE,Parathion,,UG/L,0.02,HBSL,39540,2064,459,Parathion (Ethyl),PARAE,,,,,,39540,"Parathion, bed sediment, recoverable, dry weight, micrograms per kilogram -- Parathion, water, filtered, recoverable, micrograms per liter -- Parathion, water, unfiltered, recoverable, micrograms per liter"
PCP,Pentachlorophenol (PCP),,UG/L,1,MCL,39032,2326,,Pentachlorophenol (PCP),PCP,,,,,,39032,"Pentachlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram -- Pentachlorophenol, water, filtered, recoverable, micrograms per liter -- Pentachlorophenol, water, unfiltered, recoverable, micrograms per liter"
PCATE,Perchlorate,,UG/L,6,MCL,A-031,1039,,,PCATE,,,,"Perchlorate, wf -- Perchlorate, wu",,A-031,"Perchlorate, water, filtered, micrograms per liter -- Perchlorate, water, unfiltered, micrograms per liter -- Perchlorate, water, unfiltered, recoverable, milligrams per liter"
PFEESA,Perfluoro(2-ethoxyethane) sulfonic acid (PFEESA),,NG/L,0,No Comparison Conc.,,2826,,,PFEESA,,,,,,,
PFMPA,Perfluoro-3-methoxypropanoic acid (PFMPA),,NG/L,0,No Comparison Conc.,,2823,,,PFMPA,,,,,,,
PFMBA,Perfluoro-4-methoxybutanoic acid (PFMBA),,NG/L,0,No Comparison Conc.,,2825,,,PFMBA,,,,,,,
PFBSA,Perfluorobutanesulfonic acid,,NG/L,500,NL,C2801,2801,,,PFBSA,,,,"PFBS, wu",,C2801,Perfluorobutanesulfonate
PFBTA,Perfluorobutyric acid,,NG/L,0,No Comparison Conc.,,2819,,,PFBTA -- PFBA,,,,"PFBA, wu",,WRD215,Perfluorobutanoate
