CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
24D,"2,4-Dichlorophenoxyacetic acid (2,4 D)",,UG/L,70,MCL,39730,2105,636,"2,4-D",24D,,,,"2,4-D, wf",,39730,"2,4-D, water, filtered, recoverable, micrograms per liter -- 2,4-D, water, unfiltered, recoverable, micrograms per liter"
7:3FTCA,"2H,2H,3H,3H-Perfluorodecanoicacid",,NG/L,0,No Comparison Conc.,,,,,7:3FTCA,,,,,,,
5:3FTCA,"2H,2H,3H,3H-Perfluorooctanoic Acid ",,NG/L,0,No Comparison Conc.,,,,,5:3FTCA,,,,,,,
CLBZME4,4 Chlorotoluene,,UG/L,140,NL,A-009,2966,,4-Chlorotoluene,CLBZME4,4-Chlorotoluene ,,CLBZME4,"4-Chlorotoluene, wu",4-Chlorotoluene ,A-009,
DDD44,"4,4'-DDD",,UG/L,0.1,CA-CPF,39310,2071,,"p,p'-DDD",DDD44,,,,,,39310,
DDE44,"4,4'-DDE",,UG/L,0.1,CA-CPF,39320,2069,,"p,p'-DDE",DDE44,,,,,,39320,
DDT44,"4,4'-DDT",,UG/L,0.1,CA-CPF,39300,2075,,"p,p'-DDT",DDT44,,,,,,39300,
3:3FTCA,"4,4,5,5,6,6,6-HeptafluorohexanoicAcid ",,NG/L,0,No Comparison Conc.,,,,,3:3FTCA,,,,,,,
ADONA,"4,8-Dioxa-3H-perfluorononanoic acid ",,NG/L,0,No Comparison Conc.,C2818,2815,,,ADONA,,,,,,C2818,"4,8-dioxa-3H-perfluorononanoate"
4:2FTS,"4:2 Fluorotelomer sulfonic acid (1H, 1H, 2H, 2H-Perfluorohexanesulfonic acid)",,NG/L,0,No Comparison Conc.,,2821,,,4:2FTS,,,,"4:2 FTS, wu",,WRD226,Fluorotelomer sulfonate 4:2
6:2FTS,"6:2 Fluorotelomer sulfonic acid (1H,1H,2H,2H-Perfluorooctanesulfonic acid)",,NG/L,0,No Comparison Conc.,,2820,,,6:2FTS,,,,"6:2 FTS, wu",,WRD227,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-"
8:2FTS,"8:2 Fluorotelomer sulfonic acid (1H, 1H, 2H, 2H-Perfluorodecanesulfonic acid)",,NG/L,0,No Comparison Conc.,,2822,,,8:2FTS,,,,"8:2 FTS, wu",,WRD228,Fluorotelomer sulfonate 8:2
9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid ,,NG/L,0,No Comparison Conc.,C2816,2814,,,9ClPF3ONS,,,,,,C2816,
ACETAMPHEN,Acetaminophen ,,UG/L,0,No Comparison Conc.,A-058,C058,,,ACETAMPHEN,,,,"Acetaminophen, wf",,A-058,
ACE,Acetone,,UG/L,6300,RfD,81552,2243,,,ACE,ACETONE,,ACE,"Acetone, wu",,81552,"Acetone, water, unfiltered, recoverable, micrograms per liter"
ALACL,Alachlor,,UG/L,2,MCL,77825,2051,678,Alachlor,ALACL,,,,"Alachlor, wf",,77825,"Alachlor, water, filtered, recoverable, micrograms per liter -- Alachlor, water, filtered, recoverable, nanograms per liter -- Alachlor, water, unfiltered, recoverable, micrograms per liter"
ALBUTEROL,Albuterol,,UG/L,0,No Comparison Conc.,,,,,ALBUTEROL,,,,"Albuterol, wf",,,
ALDICARB,Aldicarb,,UG/L,7,HBSL,39053,2047,575,Aldicarb,ALDICARB,,,,"Aldicarb, w,gf<.7u",,39053,"Aldicarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
ALDSULF,Aldicarb Sulfone,,UG/L,7,HBSL,A-020,2044,2265,Aldicarb sulfone,ALDSULF,,,,"Aldicarb sulfone, w,gf<.7",,A-020,"Aldicarb sulfone, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
ALDSULFOX,Aldicarb sulfoxide,,UG/L,7,HBSL,A-019,2043,2361,Aldicarb sulfoxide,ALDSULFOX,,,,"Aldicarb sulfoxide, w,gf.7",,A-019,"Aldicarb sulfoxide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
ALKCACO3,Alkalinity as CaCO3,X,MG/L,0,No Comparison Conc.,410,1927,,Total Alkalinity,ALKCACO3,ALKALINITY (TOTAL) AS CACO3,,ALK,"Alkalinity,wf,fixedEP,lab","Alkalinity, Total",410,"Acid neutralizing capacity, water, unfiltered, Gran titration, field, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, Gran titration, field, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate"
ALK,"Alkalinity, total",X,MG/L,0,No Comparison Conc.,410,1927,,,ALK -- ALKCACO3,ALKALINITY (TOTAL) AS CACO3,,ALK,"Alkalinity,wf,fixedEP,lab","Alkalinity, Total",410,"Acid neutralizing capacity, water, unfiltered, Gran titration, field, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate -- Acid neutralizing capacity, water, unfiltered, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, Gran titration, field, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate -- Alkalinity, water, filtered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter as calcium carbonate"
BHCALPHA,Alpha-Benzene Hexachloride (Alpha-BHC),,UG/L,0.15,CA-Prop65,39337,2348,,BHC-alpha,BHCALPHA,,,,,,39337,
AL,Aluminum,X,UG/L,1000,MCL,01105 -- 01106,1002 -- C250,,Dissolved Aluminum -- Total Aluminum,AL,ALUMINUM,,AL,"Aluminum, wf","Aluminum, FAA -- Aluminum, GFAA",01105 -- 01106,"Aluminum, bed sediment, recoverable, dry weight, milligrams per kilogram -- Aluminum, suspended sediment, recoverable, micrograms per liter -- Aluminum, water, filtered, micrograms per liter -- Aluminum, water, unfiltered, recoverable, micrograms per liter"
NH3NH4N,Ammonia,,MG/L,30,HAL-US,612,1003,,,NH3-NH4 -- NH3NH4N,,AMMONIUM,,"Ammonia, wf",,612,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as NH4 -- Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen -- Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as NH4 -- Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen"
ACB,Anion/Cation Balance,X,Count,0,No Comparison Conc.,,,,,ACB,,,,,,,
SB,Antimony,X,UG/L,6,MCL,1097,1074,,Dissolved Antimony,SB,ANTIMONY,,SB,,"Antimony, GFAA",1097,"Antimony, bed sediment, total digestion, dry weight, milligrams per kilogram -- Antimony, water, filtered, micrograms per liter -- Antimony, water, unfiltered, micrograms per liter"
