"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","usgsdw_sum","oswcrdw_sum","CRF4","oswcr_per","usgs_per","wq_score","wq_per","datacov"
"060371863021",1,3,1.24,"PCE","PCE; TCE; NO3N",2,0,2,2,4.18,0,100,0,46,262.39,69,100
"060371863022",2,3,1.51,"TCE; PCE","TCE; PCE; NO3N",2,0,3,3,1.47,0,66.67,0,31,243.37,68,100
"060371863023",1,3,1.24,"PCE","PCE; TCE; NO3N",1,0,1,1,2.84,0,100,0,40,262.39,69,100
"060371881002",3,3,2.03,"TCE; PCE; CTCL","TCE; PCE; NO3N",1,0,1,1,0.58,0,100,0,20,470.31,87,100
"060371881003",3,4,2.55,"TCE; PCE; CTCL","TCE; PCE; CR; NO3N",2,0,2,2,6.57,0,100,0,54,525.46,89,100
"060371954002",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",1,0,1,4,0.02,0,25,0,3,91.6,35,25
"060371955001",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",1,0,1,2,1.15,0,50,0,27,183.2,59,50
"060371972001",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",2,0,2,3,2.39,0,66.67,0,37,244.26,68,66.67
"060371972002",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",1,0,1,2,1.58,0,50,0,32,183.2,59,50
"060371972003",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",2,0,2,3,2.78,0,66.67,0,40,244.26,68,66.67
"060371974101",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",1,0,1,2,2.24,0,50,0,36,183.2,59,50
"060371974102",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",2,0,2,4,0.03,0,50,0,4,183.2,59,50
"060371974103",2,3,1.64,"TCE; PCE","TCE; PCE; NO3N",1,0,1,2,0.1,0,50,0,8,183.2,59,50
"060372047001",1,0,1.54,"CTCL","",1,0,2,2,0.06,0,50,0,6,57.7,25,100
"060372047002",1,0,1.54,"CTCL","",1,0,2,2,0.04,0,50,0,5,57.7,25,100
"060372048101",1,0,1.54,"CTCL","",1,0,4,4,0.72,0,25,0,22,28.85,16,100
"060372048103",1,0,1.54,"CTCL","",1,0,2,2,0.99,0,50,0,26,57.7,25,100
"060372048201",1,0,1.54,"CTCL","",1,0,1,1,0.02,0,100,0,3,115.4,42,100
"060372048202",1,0,1.54,"CTCL","",1,0,2,2,0.64,0,50,0,21,57.7,25,100
"060372051101",1,0,1.54,"CTCL","",1,0,1,1,0.03,0,100,0,4,115.4,42,100
"060372051201",1,0,1.54,"CTCL","",2,0,4,4,0.44,0,50,0,18,57.7,25,100
"060372051202",1,0,1.54,"CTCL","",2,0,3,3,0.21,0,66.67,0,12,76.93,30,100
"060372060501",1,0,1.54,"CTCL","",3,0,6,6,1.22,0,50,0,28,57.7,25,100
"060372260012",1,0,1.54,"CTCL","",1,0,2,2,16.83,0,50,0,67,57.7,25,100
"060372270102",1,0,1.54,"CTCL","",1,0,4,4,10.42,0,25,0,60,28.85,16,100
"060372430001",1,1,1.2,"AL","PCE",1,0,2,2,5.77,0,50,0,51,81,31,100
"060372430002",1,1,1.2,"AL","PCE",1,0,1,1,5.21,0,100,0,50,162,54,100
