MTRS,DomWellCou,Count of chemical constituents above MCL,Count of chemical constituents within 80% of MCL,Average MCL Index (for results above MCL),List of chemical constituents above MCL,List of chemical constituents within 80% of MCL,Section Risk Category
H01N04E07,4,,,,,,
H01N04E08,0,,,,,,
H01N04E09,3,,,,,,
H01N04E10,3,,,,,,
H01N04E11,5,,,,,,
H01N04E12,1,,,,,,
H01N04E13,7,0,0,0,,,low
H01N04E14,8,,,,,,
H01N04E15,2,,,,,,
H01N04E16,2,,,,,,
H01N04E17,0,,,,,,
H01N04E18,0,,,,,,
H01N04E19,0,,,,,,
H01N04E20,0,,,,,,
H01N04E21,0,,,,,,
H01N04E22,2,,,,,,
H01N04E23,9,,,,,,
H01N04E24,6,0,0,0,,,low
H01N04E25,1,0,0,0,,,low
H01N04E26,6,,,,,,
H01N04E27,0,,,,,,
H01N04E28,0,,,,,,
H01N04E29,2,,,,,,
H01N04E30,0,,,,,,
H01N04E31,0,,,,,,
H01N04E32,0,,,,,,
H01N04E33,0,,,,,,
H01N04E34,0,,,,,,
H01N04E35,3,,,,,,
H01N04E36,0,,,,,,
H01N05E01,0,0,0,0,,,low
H01N05E02,2,0,0,0,,,low
H01N05E03,4,,,,,,
H01N05E04,2,,,,,,
H01N05E05,2,,,,,,
H01N05E06,0,,,,,,
H01N05E07,1,,,,,,
H01N05E08,4,,,,,,
H01N05E09,0,,,,,,
H01N05E10,0,,,,,,
H01N05E11,15,0,0,0,,,low
H01N05E12,1,0,0,0,,,low
H01N05E13,0,,,,,,
H01N05E14,0,,,,,,
H01N05E15,0,,,,,,
H01N05E16,0,,,,,,
H01N05E17,2,0,0,0,,,low
H01N05E18,0,0,0,0,,,low
H01N05E19,2,0,0,0,,,low
H01N05E20,1,0,0,0,,,low
H01N05E21,0,,,,,,
H01N05E22,0,,,,,,
H01N05E23,0,,,,,,
H01N05E24,1,,,,,,
H01N05E25,0,,,,,,
H01N05E26,1,,,,,,
H01N05E27,0,,,,,,
H01N05E28,0,,,,,,
H01N05E29,0,0,0,0,,,low
H01N05E30,1,0,0,0,,,low
H01N05E31,0,,,,,,
H01N05E32,0,,,,,,
H01N05E33,0,,,,,,
H01N05E34,2,,,,,,
H01N05E35,0,,,,,,
H01N05E36,0,,,,,,
H01N06E01,0,,,,,,
H01N06E02,0,,,,,,
H01N06E03,0,,,,,,
