"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060371092002",0,0,0,0,1203,0,0,0,0,"None"
"060371092003",0,0,0,0,1129,0,0,0,0,"None"
"060371093003",0,0,0,0,884,0,0,0,0,"None"
"060371211023",0,0,0,0,1199,0,0,0,0,"DAC"
"060371234102",0,0,0,0,1429,0,0,0,0,"None"
"060371254021",0,0,0,0,1413,0,0,0,0,"None"
"060371254022",0,0,0,0,1011,0,0,0,0,"None"
"060371254023",0,0,0,0,2252,0,0,0,0,"None"
"060371281021",0,0,0,0,3462,0,0,0,0,"DAC"
"060371286021",0,0,0,0,1180,0,0,0,0,"None"
"060371431003",0,0,0,0,2363,0,0,0,0,"None"
"060371432001",0,0,0,0,2096,0,0,0,0,"None"
"060371432002",0,0,0,0,893,0,0,0,0,"None"
"060371432003",0,0,0,0,1221,0,0,0,0,"None"
"060371433004",0,0,0,0,1037,0,0,0,0,"None"
"060371436031",0,0,0,0,2369,0,0,0,0,"None"
"060371436041",0,0,0,0,1135,0,0,0,0,"None"
"060371436042",0,0,0,0,2386,0,0,0,0,"None"
"060371438001",0,0,0,0,1449,0,0,0,0,"None"
"060371438002",0,0,0,0,1482,0,0,0,0,"None"
"060371438004",0,0,0,0,853,0,0,0,0,"None"
"060371810002",0,0,0,0,1442,0,0,0,0,"None"
"060371835102",0,0,0,0,980,0,0,0,0,"None"
"060371835103",0,0,0,0,1217,0,0,0,0,"None"
"060371835202",0,0,0,0,1847,0,0,0,0,"DAC"
"060371837011",0,0,0,0,1413,0,0,0,0,"None"
"060371838101",0,0,0,0,2085,0,0,0,0,"DAC"
"060371838202",0,0,0,0,2238,0,0,0,0,"DAC"
"060371898002",0,0,0,0,923,0,0,0,0,"None"
"060371898003",0,0,0,0,1429,0,0,0,0,"None"
"060371941022",0,0,0,0,1388,0,0,0,0,"None"
"060371942001",0,0,0,0,2328,0,0,0,0,"None"
"060371942002",0,0,0,0,1161,0,0,0,0,"None"
"060371943001",0,0,0,0,1219,0,0,0,0,"None"
"060371943002",0,0,0,0,900,0,0,0,0,"None"
"060371944011",0,0,0,0,1449,0,0,0,0,"None"
"060371944012",0,0,0,0,1041,0,0,0,0,"None"
