"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"SL185092894-480N.WEAVER",0,0,NA,"","","low",37.2894766,-120.4408603,"EDF"
"SL185092894-81N.COFFEE",0,0,NA,"","","low",37.2884448,-120.4337576,"EDF"
"SL185092894-895N.COFFEE",0,0,NA,"","","low",37.2904352,-120.4337515,"EDF"
"SL209374234-OFRA-10",0,0,NA,"","","low",33.0814348,-116.8661137,"EDF"
"SL209374234-OFRA-2",1,0,1.44713888888889,"NO3N","","high",33.0831833,-116.8585854,"EDF"
"SL209374234-OFRA-26",1,0,1.51722222222222,"NO3N","","high",33.0788616,-116.860883,"EDF"
"SL209374234-OFRA-28",1,0,1.55861111111111,"NO3N","","high",33.0753706,-116.8594761,"EDF"
"SL209374234-OFRA-30",1,0,2.1,"NO3N","","high",33.0766944,-116.8578919,"EDF"
"SL209374234-OFRA-33",1,0,2.12916666666667,"NO3N","","high",33.0775892,-116.8629731,"EDF"
"SL209374234-OFRA-35",1,0,2.35527777777778,"NO3N","","high",33.0780672,-116.862494,"EDF"
"SL209374234-OFRA-36",1,0,2.17138888888889,"NO3N","","high",33.0755551,-116.8615631,"EDF"
"SL209374234-OFRA-37",1,0,1.41111111111111,"NO3N","","high",33.0771147,-116.8558575,"EDF"
"SL209374234-OFRA-38",1,0,1.20931944444444,"NO3N","","high",33.0773529,-116.8582877,"EDF"
"SL209374234-OFRA-42",0,0,NA,"","","low",33.0793067,-116.8574402,"EDF"
"SL209374234-OFRA-47",0,0,NA,"","","low",33.0778077,-116.8689002,"EDF"
"SLO1001",1,0,1.1,"AS","","high",35.14653452,-120.56223455,"LOCALGW"
"SLO1002",0,0,NA,"","","low",35.076697387264,-120.573689192533,"LOCALGW"
"SLO1003",1,0,1.02,"NO3N","","high",35.06087,-120.54383,"LOCALGW"
"SLO1004",1,0,3.74,"NO3N","","high",35.0896,-120.56866,"LOCALGW"
"SLO1005",1,0,1.03,"NO3N","","high",35.01923,-120.52817,"LOCALGW"
"SLO1006",0,0,NA,"","","low",35.04099,-120.53077,"LOCALGW"
"SLO1007",0,1,NA,"","AS","med",35.154472,-120.559615,"LOCALGW"
"SLO1008",0,0,NA,"","","low",35.100066,-120.369224,"LOCALGW"
"SLO1009",0,0,NA,"","","low",35.137487,-120.49742,"LOCALGW"
"SLO1010",1,0,1.12,"NO3N","","high",35.082103,-120.573945,"LOCALGW"
"SLO1011",0,0,NA,"","","low",35.016292,-120.535989,"LOCALGW"
"SLO1012",1,0,3.6,"AS","","high",35.1424632559987,-120.569873750209,"LOCALGW"
"SLO1013",0,0,NA,"","","low",35.07833,-120.5741,"LOCALGW"
"SLO1014",1,0,2,"AS","","high",35.06362,-120.539362,"LOCALGW"
"SLO1015",1,0,8,"AS","","high",35.07822,-120.58993,"LOCALGW"
"SLO1016",0,1,NA,"","AS","med",35.15605,-120.5422,"LOCALGW"
"SLO1017",1,0,3.9,"AS","","high",35.151808,-120.578278,"LOCALGW"
"SLO1018",0,0,NA,"","","low",35.150026,-120.561223,"LOCALGW"
"SLO1019",1,0,1.8,"AS","","high",35.16319,-120.566,"LOCALGW"
