GEOID,CRF1,CRF2,CRF3,CL1,CL2,highsec,medsec,datasec,areasec,CRF4,wq_score,wq_per,datacov
60374308014,3,4,3.17,TCPR123; PCE; TCE,NO3N; CR6; PCE; TCE,3,1,4,4,87.5,465.23,86,100
60374308021,3,4,2.59,TCPR123; NO3N; TCE,CR6; NO3N; PCATE; TCE,1,1,2,2,75,394.44,82,100
60374308022,0,1,0,,CR6,0,1,1,1,50,25,12,100
60374308023,0,1,0,,CR6,0,1,1,1,50,25,12,100
60374308024,2,2,3.85,TCPR123; TCE,CR6; TCE,1,1,2,2,75,253.91,68,100
60374308031,4,4,2.15,TCPR123; CR6; TCE; NO3N,CR6; TCE; NO3N; PCE,3,1,4,4,87.5,543.83,90,100
60374308032,3,4,1.3,CR6; TCE; NO3N,CR6; TCE; NO3N; PCE,2,0,2,2,100,513,88,100
60374308033,1,1,1.5,TCE,TCE,1,0,1,1,100,165,56,100
60374308035,1,1,1.5,TCE,TCE,1,0,1,1,100,165,56,100
60374309012,3,4,5.27,TCPR123; PCE; TCE,NO3N; PCE; CR6; TCE,2,0,2,2,100,552.7,90,100
60374309022,4,5,4.12,TCPR123; NO3N; PCE; TCE,NO3N; CR6; PCE; PCATE; TCE,3,1,4,4,87.5,604.82,92,100
60374309023,3,4,4.21,TCPR123; NO3N; TCE,NO3N; CR6; PCATE; TCE,2,0,2,2,100,542.1,90,100
60374311005,3,4,2.59,TCPR123; NO3N; TCE,NO3N; PCATE; CR6; TCE,1,0,1,1,100,525.92,89,100
60374313002,3,4,2.59,TCPR123; NO3N; TCE,NO3N; PCATE; CR6; TCE,1,0,1,1,100,525.92,89,100
60374316001,3,4,1.23,CR6; NO3N; TCE,CR6; NO3N; TCE; PCE,1,0,1,1,100,512.33,88,100
60374316002,3,4,1.17,CR6; NO3N; TCE,CR6; NO3N; TCE; PCE,4,0,4,4,100,511.69,88,100
60374316003,3,4,1.2,CR6; NO3N; TCE,CR6; NO3N; TCE; PCE,2,0,2,2,100,512,88,100
60374317001,2,2,3.85,TCPR123; TCE,CR6; TCE,1,0,1,1,100,338.55,78,100
60374317002,4,4,2.28,TCPR123; CR6; NO3N; TCE,CR6; NO3N; TCE; PCE,2,0,2,2,100,622.82,93,100
60374317003,3,4,1.23,CR6; NO3N; TCE,CR6; NO3N; TCE; PCE,1,0,1,1,100,512.33,88,100
60374317004,3,4,1.2,CR6; NO3N; TCE,CR6; NO3N; TCE; PCE,2,0,2,2,100,511.97,88,100
60374317005,6,5,1.99,TCPR123; CR6; NO3N; ALPHA; TCE; PCE,CR6; NO3N; U; TCE; PCE,4,0,4,4,100,869.85,97,100
60374318001,5,4,1.71,CR6; TCPR123; NO3N; ALPHA; PCE,CR6; NO3N; U; PCE,3,0,3,3,100,717.14,94,100
60374319001,2,2,1.14,CR6; NO3N,CR6; NO3N,1,0,1,1,100,311.43,74,100
60374319002,2,2,1.14,CR6; NO3N,CR6; NO3N,1,0,1,1,100,311.43,74,100
60374319003,5,4,1.42,CR6; TCE; NO3N; TCPR123; PCE,CR6; TCE; NO3N; PCE,4,0,4,4,100,714.2,94,100
60374320004,2,2,1.13,CR6; NO3N,CR6; NO3N,2,0,2,2,100,311.28,74,100
60374320005,5,4,1.45,CR6; TCE; NO3N; TCPR123; PCE,CR6; TCE; NO3N; PCE,3,0,3,3,100,714.53,94,100
60374320006,5,4,1.56,CR6; TCE; NO3N; TCPR123; PCE,CR6; TCE; NO3N; PCE,2,0,2,2,100,715.57,94,100
60374323002,6,4,2.63,CR6; BIS2EHP; CTCL; TCE; NO3N; PCE,CR6; TCE; NO3N; PCE,1,0,1,1,100,826.32,96,100
60374323003,6,4,2.41,CR6; BIS2EHP; CTCL; TCE; NO3N; PCE,CR6; TCE; NO3N; PCE,2,0,3,3,66.67,549.42,90,100
60374328011,8,5,2.41,PCE; TCE; CR6; TCPR123; BIS2EHP; CTCL; NO3N; AS,PCE; TCE; NO3N; CR6; AS,3,0,4,4,75,805.56,96,100
60374328021,6,5,2.25,PCE; TCE; TCPR123; BIS2EHP; CTCL; AS,PCE; TCE; CR6; NO3N; AS,1,0,2,2,50,436.26,85,100
60374328022,6,5,2.25,PCE; TCE; TCPR123; BIS2EHP; CTCL; AS,PCE; TCE; CR6; NO3N; AS,1,0,2,2,50,436.26,85,100
60374329021,6,5,2.25,PCE; TCE; TCPR123; BIS2EHP; CTCL; AS,PCE; TCE; CR6; NO3N; AS,1,0,2,2,50,436.26,85,100
60374329022,6,5,2.25,PCE; TCE; TCPR123; BIS2EHP; CTCL; AS,PCE; TCE; CR6; NO3N; AS,1,0,2,2,50,436.26,85,100
60374600002,1,0,1.05,F,,1,0,2,2,50,55.25,23,100
60374600004,1,0,1.05,F,,1,0,2,2,50,55.25,23,100
60374603021,3,5,2.14,CTCL; PCATE; NO3N,PCATE; NO3N; ALPHA; TCE; PCE,2,0,2,2,100,571.4,91,100
60374604012,1,0,2.25,U,,1,0,1,5,20,24.5,11,20
60374606004,2,1,1.14,NO3N; TCPR123,NO3N,1,1,2,2,75,196.04,61,100
60374607002,5,6,2.3,NO3N; PCATE; CTCL; TCPR123; PCE,NO3N; PCATE; CTCL; ALPHA; PCE; TCE,2,0,2,2,100,822.99,96,100
60374608001,5,6,1.35,PCATE; TCE; NO3N; TCPR123; PCE,PCATE; TCE; NO3N; TCPR123; ALPHA; PCE,5,0,5,6,83.33,677.93,93,83.33
